,source_id,nombre,inicial,apellidos,especialidad,telefono #1,telefono #2,direccion,pueblo,estado,actualizacion
6772,001,GILBERTO,,GIL SANTIAGO,MEDICINA DE FAMILIA,787-859-1062,,6 PACA MARTINEZ STE 1,COROZAL,PUERTO RICO,01/28/2024
6773,001,JOSE,,ROSADO ORTIZ,DENTISTA CIRUGIA ORAL Y MAXILOFACIAL,787-250-6400,,TORRE MEDICA AUXILIO MUTUO SUITE 514AVE PONCE DE LEON 735,SAN JUAN,PUERTO RICO,01/28/2024
6774,001,ORLANDO,,TORRES MIRANDA,MEDICINA INTERNA,787-825-4558,,20 CALLE BALDORIOTY,COAMO,PUERTO RICO,01/28/2024
6775,001,MYRTA,,QUINTANA LATORRE,MEDICINA DE FAMILIA,787-896-5788,,AVE EMERITO ESTRADA RIVERA #1800 BO GUATEMALA,SAN SEBASTIAN,PUERTO RICO,01/28/2024
6777,001,ANA,,SANTOS CUBINA,MEDICINA DE FAMILIA,787-802-0605,,URB LOMA LINDA CALLE PRINCIPAL #A6,COROZAL,PUERTO RICO,01/28/2024
6778,001,KERMIT,,RICHIEZ COLON,GASTROENTEROLOGIA,787-777-0977,787-604-7858,TORRE MEDICA AUXILIO MUTUO SUITE 402 AVE PONCE DE LEON,SAN JUAN,PUERTO RICO,01/28/2024
6779,001,YASMIN,,FUENTES SANTIAGO,MEDICINA DE FAMILIA,787-802-1771,,CALLE AMALIA BOU CARRERAS #15,COROZAL,PUERTO RICO,01/28/2024
6780,001,AMARILYS,,MANGUAL FIGUEROA,HEMATOLOGIA Y ONCOLOGIA,787-856-1000,,YAUCO PAVIACARR 127 OF CE 84,YAUCO,PUERTO RICO,01/28/2024
6784,001,JORGE,,ROBLES ROMERO,ANESTESIOLOGIA,787-864-4300,,HOSPITAL MENONITA GUAYAMAAVE PEDRO ALBIZU CAMPOS,GUAYAMA,PUERTO RICO,01/28/2024
6785,001,CARMEN,,SANTIAGO MUNOZ,GASTROENTEROLOGIA,787-290-2948,,TORRE MEDICA SAN LUCAS 909 HOSPITAL EPISCOPAL SAN LUCASAVE TITO CASTRO SUITE 518,PONCE,PUERTO RICO,01/28/2024
6787,001,HECTOR,,MAYOL DEL VALLE,OFTALMOLOGIA,787-278-0830,,257 CALLE MENDEZ VIGO,DORADO,PUERTO RICO,01/28/2024
6789,001,NILDA,,CARRERAS COELLO,MEDICINA GENERAL,787-828-3156,,CALLE LIBERTAD 47 SUITE 2,JAYUYA,PUERTO RICO,01/28/2024
6790,001,FERNANDO,,BAEZ CORUJO,GASTROENTEROLOGIA,787-347-5611,787-722-3627,EDIFICIO TRUJILLO ALTOEXPRESO TRUJILLO ALTO KM 2 1 OFICINA 101,TRUJILLO ALTO,PUERTO RICO,01/28/2024
6791,001,FERNANDO,,BAEZ CORUJO,GASTROENTEROLOGIA,787-347-5611,939-270-1813,CARR 185 KM 0 6 LOTE AZONA INDUSTRIAL COMERCIAL LOCAL 1,CANOVANAS,PUERTO RICO,01/28/2024
6792,001,FERNANDO,,BAEZ CORUJO,GASTROENTEROLOGIA,787-748-0450,,URBANIZACION LAGO ALTOCALLE CARITE #130,TRUJILLO ALTO,PUERTO RICO,01/28/2024
6794,001,ANA,,FIGUEROA GARCIA,PEDIATRIA,787-888-0668,,URB ALTURAS DE RIO GRANDECALLE B AA 20,RIO GRANDE,PUERTO RICO,01/28/2024
6795,001,EZER,,CAMACHO RODRIGUEZ,OFTALMOLOGIA,787-802-1333,,EDIF PLAZA DEL CARMEN SUITE 306951 CARR 891 KM 13 0,COROZAL,PUERTO RICO,01/28/2024
6797,001,LISANDRA,,PINA ALVAREZ,DIETISTA,787-854-4120,,MANATI MEDICAL CENTER PROFESSIONAL PLAZA SUITE 411CALLE HERNANDEZ CARRION,MANATI,PUERTO RICO,01/28/2024
6798,001,LISANDRA,,PINA ALVAREZ,DIETISTA,787-665-2222,,DCH DORADO CENTRO COMERCIAL PLAZA DORADA #24,DORADO,PUERTO RICO,01/28/2024
6801,001,YAIZA,,MARTINEZ ORTIZ,GASTROENTEROLOGIA,787-249-9560,787-240-2922,ASHFORD MEDICAL CENTERCALLE WASHINGTON 29 SUITE 601 602,SAN JUAN,PUERTO RICO,01/28/2024
6803,001,EDITH,,OSORIO ORTIZ,DENTISTA PEDIATRICO,787-679-4827,,AVE EMERITO ESTRADA 1003 STE 5,SAN SEBASTIAN,PUERTO RICO,01/28/2024
6804,001,GLORIMAR,,SANTOS LLANOS,NEUMOLOGIA,787-801-5325,,TORRE MEDICA HIMA SAN PABLO SUITE 304,FAJARDO,PUERTO RICO,01/28/2024
6805,001,CRISTINA,,LAVERGNE DIAZ,QUIROPRACTICO,787-509-6575,,MONTEMAR PLAZA SUITE 380CALLE JUAN CALAF SUITE 7C,SAN JUAN,PUERTO RICO,01/28/2024
6806,001,CESAR,,ORTEGA CAVA,MEDICINA INTERNA,787-862-3532,,DOCTOR CENTER HOSPITALCARR #2 KM 47 7,MANATI,PUERTO RICO,01/28/2024
6807,001,SERVICIOS,,MEDICOS VALLE DE LAJAS INC,CENTRO DE MULTIPLES ESPECIALIDADES,787-899-4242,,237 AVENIDA LOS VETERANOS,LAJAS,PUERTO RICO,01/28/2024
6808,001,LUIS,,RIVERA LOPEZ,PEDIATRIA,787-856-5335,,CENTRO COMERCIAL C & C,YAUCO,PUERTO RICO,01/28/2024
6809,001,LUIS,,RIVERA LOPEZ,PEDIATRIA,787-821-5328,787-821-3377,CARR 324 KM 2 1 BO ENSENADA EL BATEY,GUANICA,PUERTO RICO,01/28/2024
6810,001,LUIS,,RIVERA LOPEZ,PEDIATRIA,787-856-8449,,CARR 128 KM 4 1 BO ALMACIGO BAJO,YAUCO,PUERTO RICO,01/28/2024
6811,001,REBECCA,,DELGADO RODRIGUEZ,MEDICINA GENERAL,787-256-5277,,CALLE AUTONOMIA NUM 101,CANOVANAS,PUERTO RICO,01/28/2024
6812,001,REBECCA,,DELGADO RODRIGUEZ,MEDICINA GENERAL,787-888-3532,,B 26 GARCIA DE LA NOCEDA VILLAS DE RIO GRANDE,RIO GRANDE,PUERTO RICO,01/28/2024
6814,001,DAVID,,VAZQUEZ MORALES,CIRUGIA ORAL Y MAXILOFACIAL,787-744-3087,787-746-4840,CIRUGIA AMBULATORIA HIMA SAN PABLO A1AVE MUNOZ RIVERA SUITE 302,CAGUAS,PUERTO RICO,01/28/2024
6815,001,DAVID,,VAZQUEZ MORALES,CIRUGIA ORAL Y MAXILOFACIAL,787-285-4324,,HUMACAO MEDICAL PLAZA 53FONT MORTELO SUITE 103,HUMACAO,PUERTO RICO,01/28/2024
6816,001,DAVID,,VAZQUEZ MORALES,CIRUGIA ORAL Y MAXILOFACIAL,787-520-7148,,EDIFICIO GUAYACAN 202 CALLE JULIO CUETO SUITE 221,AIBONITO,PUERTO RICO,01/28/2024
6817,001,IVAN,,GUZMAN ORTIZ,OBSTETRICIA Y GINECOLOGIA,787-263-7928,787-263-1001,HOSPITAL MENONITA CAYEYSUITE 210 EDIFICIO PROFESIONAL,CAYEY,PUERTO RICO,01/28/2024
6818,001,IVAN,,GUZMAN ORTIZ,OBSTETRICIA Y GINECOLOGIA,787-714-7793,,12 CALLE ANTONIO BARCELO,CIDRA,PUERTO RICO,01/28/2024
6820,001,AXEL,,RAMOS VAZQUEZ,PEDIATRIA,939-414-2398,,URB GOMEZ 6,HUMACAO,PUERTO RICO,01/28/2024
6821,001,JENNIFER,,SEDA RAMIREZ,MEDICINA GENERAL,787-797-8722,,CARR 829 KM 2 3 BO PINAS,TOA ALTA,PUERTO RICO,01/28/2024
6822,001,ARNALDO,,ROSA TORRENS,GASTROENTEROLOGIA,787-285-1223,787-285-7694,CALLE DOLORES CABRERA 3 ESTE,HUMACAO,PUERTO RICO,01/28/2024
6823,001,LUIS,,RIVERA ALLENDE,QUIROPRACTICO,787-768-8319,787-409-3492,VILLA FONTANA 4MN6 ESQ VIA #33,CAROLINA,PUERTO RICO,01/28/2024
6824,001,LORNA,,DE JESUS CARTAGENA,MEDICINA GENERAL,787-766-1344,,URB LAS LOMAS AVE AMERICOS MIRANDA #1669,SAN JUAN,PUERTO RICO,01/28/2024
6825,001,FILIBERTO,,DESA CINTRON,DENTISTA,787-856-6700,,CALLE VIVALDI ESQUINA BALDORIOTY,YAUCO,PUERTO RICO,01/28/2024
6827,001,ALICIA,,CORREA ARROYO,TERAPIA FISICA,787-256-1358,,CENTRO DE TERAPIA FISICA SAN ISIDROCARR 188 KM 1 5 BO SAN ISIDRO,CANOVANAS,PUERTO RICO,01/28/2024
6828,001,PABLO,,SERRANO LEBRON,CARDIOLOGIA,787-850-2555,,54 MUNOZ MARIN STREET,HUMACAO,PUERTO RICO,01/28/2024
6829,001,SANDRA,,ROSADO MEDINA,MEDICINA GENERAL,939-245-4424,787-399-9368,BO BUCARABONES CARR 861 KM 7,TOA ALTA,PUERTO RICO,01/28/2024
6830,001,WILLIAM,,SOTO AVILES,MEDICINA GENERAL,787-230-7190,,CALLE BARCELO #16,TOA ALTA,PUERTO RICO,01/28/2024
6831,001,RAMON,,MALAVE VELEZ,MEDICINA GENERAL,787-896-3488,,26 CALLE BETANCES,SAN SEBASTIAN,PUERTO RICO,01/28/2024
6833,001,ROSA,,CORTES CAMACHO,TERAPIA FISICA,787-823-4306,787-997-2662,18 CALLE COMERCIO,RINCON,PUERTO RICO,01/28/2024
6834,001,GILBERTO,,RIVERA GAUTIER,CARDIOLOGIA,787-227-0408,,TORRE AUXILIO MUTUOAVE PONCE DE LEON 735 SUITE 408,SAN JUAN,PUERTO RICO,01/28/2024
6835,001,GILBERTO,,RIVERA GAUTIER,CARDIOLOGIA,787-758-2000,,AVE PONCE DE LEON #715 PARADA 37 5,SAN JUAN,PUERTO RICO,01/28/2024
6836,001,JOSE,,TORRADO GONZALEZ,CARDIOLOGIA,787-425-0105,787-425-0106,TORRE MEDICA AUXILIO MUTUOAVE PONCE DE LEON 735 SUITE 208,SAN JUAN,PUERTO RICO,01/28/2024
6837,001,RAFAEL,,LASTRA HERNANDEZ,CARDIOLOGIA,787-764-6403,787-764-7473,TORRE AUXILIO MUTUOAVE PONDE DE LEON 735 SUITE 516,SAN JUAN,PUERTO RICO,01/28/2024
6838,001,JUAN,,ROSARIO RAMOS,DENTISTA,787-837-0124,,CALLE COMERCIO ESQ HOSTOS 116,JUANA DIAZ,PUERTO RICO,01/28/2024
6839,001,MONICA,,MENDEZ AYALA,HEMATOLOGIA Y ONCOLOGIA,787-269-4740,787-269-4670,66 STA CRUZ 509 INSTITUTO SAN PABLO,BAYAMON,PUERTO RICO,01/28/2024
6840,001,MONICA,,MENDEZ AYALA,HEMATOLOGIA Y ONCOLOGIA,787-395-7085,,DOCTOR CANCER CENTER,BAYAMON,PUERTO RICO,01/28/2024
6841,001,BLANCA,,ANGLADA LASA,DENTISTA,787-740-2770,,EDIFICIO DR ARTURO CADILLA VINAS SUITE 506 PASEO SAN PABLO 100,BAYAMON,PUERTO RICO,01/28/2024
6842,001,EMILIO,,PEREZ DE LEON,CIRUGIA GENERAL,787-653-3126,,HIMA GRUPO QUIRURGICO AVANZADOHIMA PLAZA OFICINA 301,CAGUAS,PUERTO RICO,01/28/2024
6843,001,EMILIO,,PEREZ DE LEON,CIRUGIA GENERAL,787-620-9414,787-620-4747,HIMA GRUPO QUIRURGICO AVANZADOPLAZA SAN PABLO II PASEO SAN PABLO 150,BAYAMON,PUERTO RICO,01/28/2024
6844,001,EMILIO,,PEREZ DE LEON,CIRUGIA GENERAL,787-330-5424,,100 GRAND BOULEVARD PASEOS SUITE 112 272,SAN JUAN,PUERTO RICO,01/28/2024
6845,001,KENEL,,FERNANDEZ BARBOSA,HEMATOLOGIA Y ONCOLOGIA,787-269-4740,,INSTITUTO SAN PABLO 66CALLE SANTA CRUZ SUITE 509,BAYAMON,PUERTO RICO,01/28/2024
6846,001,KENEL,,FERNANDEZ BARBOSA,HEMATOLOGIA Y ONCOLOGIA,787-621-3400,,DOCTORS CANCER CENTERCARR 2 KM 47 7,MANATI,PUERTO RICO,01/28/2024
6847,001,LILIANNE,,ROSADO ARZOLA,DENTISTA,787-973-0008,,TORRE SAN CRISTOBALAVE SAN CRISTOBAL OFFICE 211,PONCE,PUERTO RICO,01/28/2024
6848,001,EILYN,,DE JESUS GONZALEZ,MEDICINA INTERNA,787-787-1677,787-946-8196,CARIMED PLAZAAVE SANTA CRUZ 74 SUITE 201,BAYAMON,PUERTO RICO,01/28/2024
6849,001,FELIPE,,GARCIA SOLER,CARDIOLOGIA,787-269-3990,,INSTITUTO SAN PABLOCALLE SANTA CRUZ SUITE 405,BAYAMON,PUERTO RICO,01/28/2024
6851,001,YESENIA,,ORTIZ PADILLA,MEDICINA GENERAL,939-238-2706,787-245-7199,CALLE GEORGETTI # 80,NARANJITO,PUERTO RICO,01/28/2024
6852,001,JOSE,,ALVARADO JIMENEZ,DENTISTA,787-752-4070,,AVENIDA GALICIA CALLE 101 BE 11 JARDINES COUNTRY CLUB,CAROLINA,PUERTO RICO,01/28/2024
6853,001,INNOVA,,LAB,LABORATORIO CLINICO,787-856-4005,,CALLE MATTEI LLUBERAS #52,YAUCO,PUERTO RICO,01/28/2024
6854,001,LUIS,,RIVERA NAVARRO,DENTISTA,787-957-7836,787-463-9074,CALLE 2 G 42 VILLAS DORADAS,CANOVANAS,PUERTO RICO,01/28/2024
6855,001,LUIS,,RIVERA NAVARRO,DENTISTA,787-463-9074,787-957-7836,METROPOLIS SHOPPING CENTER METROPOLIS,CAROLINA,PUERTO RICO,01/28/2024
6856,001,JANET,,MAYOR BECERRA,DENTISTA,787-762-3644,,AVE PONTEZUELA 659 VISTAMAR,CAROLINA,PUERTO RICO,01/28/2024
6857,001,WALTER,,JANER MARTINEZ,GASTROENTEROLOGIA,787-779-6666,,EDIF MEDICO STA CRUZ SUITE 213,BAYAMON,PUERTO RICO,01/28/2024
6859,001,MARIA,,PADILLA BRUNO,DERMATOLOGIA,787-798-5899,,SANTA CRUZ MEDICALCALLE SANTA CRUZ 73 SUITE 214,BAYAMON,PUERTO RICO,01/28/2024
6860,001,ANA,,MALTES RAINIERI,MEDICINA GENERAL,787-870-5382,,76 CALLE JOSE DE DIEGO,TOA ALTA,PUERTO RICO,01/28/2024
6861,001,CENTRO,,RADIOLOGICO DE LA MONTANA,CENTRO DE RADIOLOGIA Y MAMOGRAFIA,787-869-2687,787-869-4721,CARR 152 INT 803 KM 10 1 BO CEDRO ARRIBA,NARANJITO,PUERTO RICO,01/28/2024
6862,001,JOSE,,RIVERA GREGORY,DENTISTA,787-769-0137,,LOS COLOBOS SHOPPING CENTER SUITE 202,CAROLINA,PUERTO RICO,01/28/2024
6864,001,ROBERTO,,NIEVES RIVERA,DENTISTA,787-762-4629,,CENTRO COMERCIAL PLAZA GUZMAN ALTOSCARR #3 KM 11 7,CAROLINA,PUERTO RICO,01/28/2024
6865,001,ANGEL,,TORRES TORRES,DENTISTA,787-845-6706,,56 CALLE MUNOZ RIVERA,SANTA ISABEL,PUERTO RICO,01/28/2024
6866,001,ANGEL,,TORRES TORRES,DENTISTA,787-544-4918,,HOSPITAL GENERAL CASTANER CARRETERA 135 KM 64 2,LARES,PUERTO RICO,01/28/2024
6867,001,RAFAEL,,DIAZ CANCEL,DENTISTA,787-769-6880,,CALLE DOMINGO CACERES61 W,CAROLINA,PUERTO RICO,01/28/2024
6868,001,AGNES,,ARENAS ALICEA,DENTISTA,787-745-6220,,DB DENTAL IID CARR 172 INT CARR 1PLAZA DEL CARMEN MALL SUITE 22,CAGUAS,PUERTO RICO,01/28/2024
6869,001,AGNES,,ARENAS ALICEA,DENTISTA,787-757-7988,,AVE FRAGOSO 4E S 3 URB VILLA FONTANA,CAROLINA,PUERTO RICO,01/28/2024
6870,001,EDGAR,,SOLIS SANCHEZ,NEUROLOGIA INFANTIL,787-288-8147,787-200-0721,CARIMED PLAZACALLE SANTA CRUZ B1 SIUTE 409,BAYAMON,PUERTO RICO,01/28/2024
6871,001,NYDIA,,LOPEZ DIAZ,MEDICINA GENERAL,787-279-3297,,OFICINA MEDICA DRA NYDIA LOPEZ BO PINASCARR 828 KM 0 1,TOA ALTA,PUERTO RICO,01/28/2024
6872,001,BERNARDO,,HERNANDEZ DE PAZ,DENTISTA,787-757-7988,787-752-5700,BLOQ 4 ES3 VILLA FONTANA AVE FRAGOSO,CAROLINA,PUERTO RICO,01/28/2024
6873,001,LINNETTE,,ROSADO MEDINA,MEDICINA GENERAL,787-797-3099,787-399-9368,130 BO BUCARABONESCARR 861 KM 7 0,TOA ALTA,PUERTO RICO,01/28/2024
6874,001,JUAN,,ECHEANDIA VELEZ,MEDICINA GENERAL,787-797-7794,,AVE PRINCIPAL N 13TOA ALTA HEIGHTS,TOA ALTA,PUERTO RICO,01/28/2024
6875,001,JUAN,,ECHEANDIA VELEZ,MEDICINA GENERAL,787-797-7794,,MEDICAL NETWORK LLCAVE PRINCIPAL TOA ALTA HEIGHT,TOA ALTA,PUERTO RICO,01/28/2024
6876,001,ALEX,,TAVERAS CRUZ,MEDICINA GENERAL,787-797-8722,,CARR 829 KM 2 3 BO PINAS,CATANO,PUERTO RICO,01/28/2024
6878,001,CARLOS,,PEREZ SEMIDEI,MEDICINA GENERAL,787-870-6893,,CALLE 1 VILLA AMPARO #15 B CONTORNO,TOA ALTA,PUERTO RICO,01/28/2024
6881,001,NESTOR,,COLON SANCHEZ,PEDIATRIA,787-863-8580,,155 CELIS AGUILERA STREET,FAJARDO,PUERTO RICO,01/28/2024
6882,001,MAYRA,,BREA PEREZ,MEDICINA GENERAL,787-657-7000,,VILLAS DE RIO GRANDEAGUSTIN PEREZ ANDINO J 13,RIO GRANDE,PUERTO RICO,01/28/2024
6883,001,JESSICA,,PEREZ RODRIGUEZ,DENTISTA,787-464-2721,787-858-5155,URB VILLA REAL C/MARGINAL D 12,VEGA BAJA,PUERTO RICO,01/28/2024
6885,001,OSVALDO,,CRUZ BURGOS,PEDIATRIA,787-889-3966,,URB BRISAS DEL MAR CALLEDRA IRMA RUIZ J 6 SUITE 102,LUQUILLO,PUERTO RICO,01/28/2024
6886,001,MANUEL,,MATEO LOPEZ,MEDICINA GENERAL,787-870-5025,,CALLE LUIS MUNOZ RIVERA 16,TOA ALTA,PUERTO RICO,01/28/2024
6887,001,MARYLIA,,MANZANO RIVERA,MEDICINA DE FAMILIA,787-797-0070,,PLAZA 829CARRETERA 829 KM 2 0,TOA ALTA,PUERTO RICO,01/28/2024
6888,001,MARYLIA,,MANZANO RIVERA,MEDICINA DE FAMILIA,787-333-6300,,J 11 CALLE ELLIOT VELEZESQ HERNANDEZ CARRION,MANATI,PUERTO RICO,01/28/2024
6889,001,JOSE,,LOPEZ TORRES,DENTISTA,787-719-5545,787-719-5546,COND PLAYA AZUL IV G 03CARR 193 CALLE MATA DE PLATANO,LUQUILLO,PUERTO RICO,01/28/2024
6890,001,JOSE,,SILVA BONAR,DENTISTA,787-870-4357,,BARCELO #12,TOA ALTA,PUERTO RICO,01/28/2024
6891,001,MARIE,,AVILES AVILES,DENTISTA,787-797-0550,,TOA ALTA HEIGHTS MINI MALLLOCAL 2 AVE PRINCIPAL,TOA ALTA,PUERTO RICO,01/28/2024
6892,001,EZEAGWULA,,EBUBE,OPTOMETRIA,787-876-5511,787-876-5585,PLAZA RIAL EYE EXPRESS 20 20 URB INDUSTRIALCARR 185 KM 0 9,CANOVANAS,PUERTO RICO,01/28/2024
6893,001,LUIS,,PAGAN MATIAS,DENTISTA,787-754-7747,787-598-4757,CAPITAL CENTER BUILDINGAVE ARTERIAL HOSTOS 239 SUITE 1103,SAN JUAN,PUERTO RICO,01/28/2024
6894,001,LUIS,,PAGAN MATIAS,DENTISTA,787-883-6446,,SONRISAS RADIANTESCENTRO GRAN CARIBE SUITE 209 CARR #2 KM 29 7,VEGA ALTA,PUERTO RICO,01/28/2024
6895,001,AUREA,,SOTO ACEVEDO,PEDIATRIA,787-767-8758,,CALLE PADRE LAS CASAS107 URB EL VEDADO,SAN JUAN,PUERTO RICO,01/28/2024
6896,001,CENTRO,,DE TERAPIA FISICA LA MONTANA,CENTRO TERAPIA FISICA,787-869-7927,,CARR 152 KM 11 7,NARANJITO,PUERTO RICO,01/28/2024
6897,001,FREDERICK,,FERNANDEZ TORRES,DENTISTA,787-768-8085,787-768-2929,VILLA FONTANA VIA JOSEFINA ST AVE FIDALGO DIAZ,CAROLINA,PUERTO RICO,01/28/2024
6898,001,OSCAR,,LUGO ALVAREZ,DENTISTA,787-750-1230,,ROBERTO SANCHEZ VILELLAA 5 CASTELLANA GARDENS,CAROLINA,PUERTO RICO,01/28/2024
6899,001,JACOB,,ANAYA III GONZALEZ,QUIROPRACTICO,787-780-3762,787-780-3796,URBANIZACION SANTA CRUZCALLE SANTA CRUZ OFFICE 53,BAYAMON,PUERTO RICO,01/28/2024
6900,001,JACOB,,ANAYA III GONZALEZ,QUIROPRACTICO,787-269-0988,,EDIFICIO LAUREL PLAZAURB SANTA JUANITA AVE LAUREL SUITE 100,BAYAMON,PUERTO RICO,01/28/2024
6901,001,JACOB,,ANAYA III GONZALEZ,QUIROPRACTICO,787-778-8505,,UNIVERSIDAD CENTRAL DEL CARIBE INCAVE LAUREL #100 ESQUINA SANTA JUANITA,BAYAMON,PUERTO RICO,01/28/2024
6903,001,JAVIER,,GONZALEZ CASTRO,OTORRINOLARINGOLOGIA CIRUGIA PLASTICA CABEZA Y CUELLO,939-253-7116,787-717-8911,CARIBBEAN FACIAL PLASTIC SURGERY CENTERVILLA CAPARRA 60 CALLE 8,GUAYNABO,PUERTO RICO,01/28/2024
6905,001,PABLO,,PASTRANA MALDONADO,MEDICINA GENERAL,787-732-5970,,CALLE MUNOZ RIVERA 43,AGUAS BUENAS,PUERTO RICO,01/28/2024
6906,001,EVELYN,,MATTA FONTANET,MEDICINA INTERNA,787-889-4025,787-657-0131,OFICINA DRA EVELYN MATTA FONTANET 4CALLE JUAN R GONZALEZ,RIO GRANDE,PUERTO RICO,01/28/2024
6908,001,WALFRED,,TORRES DAVILA,OFTALMOLOGIA,787-870-3341,,RIO DEL PLATA MALL LOCAL 4A,TOA ALTA,PUERTO RICO,01/28/2024
6909,001,WALFRED,,TORRES DAVILA,OFTALMOLOGIA,787-625-6120,,CALLE SANTA CRUZ B 7,BAYAMON,PUERTO RICO,01/28/2024
6910,001,TERAPIA,,FISICA DEL TOA,CENTRO TERAPIA FISICA,787-870-8403,787-216-7072,A1 CALLE 1AVE SAN FERNANDO,TOA ALTA,PUERTO RICO,01/28/2024
6912,001,LUIS,,CANAS RIVAS,MEDICINA INTERNA,787-825-5835,787-705-6550,13 MARIO BRASCHI,AIBONITO,PUERTO RICO,01/28/2024
6913,001,VIVIAN,,VILLARUBIA VELEZ,MEDICINA GENERAL,787-889-5151,,CALLE ROSENDO MATIENZO CINTRON55 LUQUILLO,LUQUILLO,PUERTO RICO,01/28/2024
6914,001,ERVING,,DIAZ TORRES,MEDICINA FISICA Y REHABILITACION,787-757-3300,,CALLE YUNQUESITO A 1LOMAS DE CAROLINA,CAROLINA,PUERTO RICO,01/28/2024
6915,001,ERVING,,DIAZ TORRES,MEDICINA FISICA Y REHABILITACION,787-453-0050,,CAROLINA SHOPPING COURTLOCAL 25,CAROLINA,PUERTO RICO,01/28/2024
6916,001,RICHARD,,KILEY,DENTISTA,787-510-9915,,CALLE GANDARA #18 ALTOS,COROZAL,PUERTO RICO,01/28/2024
6917,001,LIZA,,SOCORRO MALAVEZ,QUIROPRACTICO,787-232-7598,,CARR 838 KM 1 4 BO FRAILES,GUAYNABO,PUERTO RICO,01/28/2024
6918,001,HARRY,,ALVERIO RODRIGUEZ,MEDICINA FISICA Y REHABILITACION,787-762-3572,,URB COUNTRY CLUB AVE CAMPO RICO G05,CAROLINA,PUERTO RICO,01/28/2024
6919,001,HARRY,,ALVERIO RODRIGUEZ,MEDICINA FISICA Y REHABILITACION,787-887-2555,,CALLE DE LA NOCEDA B 18VILLAS DE RIO GRANDE,RIO GRANDE,PUERTO RICO,01/28/2024
6920,001,LILLIAN,,RIOS RIGAU,DENTISTA,787-859-2870,,#19 LAS MERCEDES,COROZAL,PUERTO RICO,01/28/2024
6921,001,ADALBERTO,,MOLINA SANTIAGO,OPTOMETRIA,787-859-5959,787-817-2727,GANDARA CALLE 1,COROZAL,PUERTO RICO,01/28/2024
6922,001,EFRAIN,,VARGAS RIVERA,MEDICINA GENERAL,787-859-7085,,CALLE URBANO RAMIREZ 9,COROZAL,PUERTO RICO,01/28/2024
6923,001,EFRAIN,,VARGAS RIVERA,MEDICINA GENERAL,787-705-6550,,BO QUEBRADILLA CARR 152 KM 8 0,BARRANQUITAS,PUERTO RICO,01/28/2024
6924,001,GENARO,,BOU UMPIERRE,PEDIATRIA,787-859-6452,,CALLE BOU 57 INT,COROZAL,PUERTO RICO,01/28/2024
6925,001,LUIS,,ORTIZ MATOS,MEDICINA GENERAL,787-859-0112,,EDIF ORTIZ MEDICAL PLAZACALLE 1 URB SAN FELIZ 1 STE 101,COROZAL,PUERTO RICO,01/28/2024
6926,001,NELSON,,SERRANO TORRES,MEDICINA GENERAL,787-859-4377,,CALLE GANDARA 7,COROZAL,PUERTO RICO,01/28/2024
6927,001,MIGUEL,,ORTIZ CALDERO,MEDICINA GENERAL,787-304-5205,,PLAZA DEL CARMENBO PUEBLO OFICINA 209,COROZAL,PUERTO RICO,01/28/2024
6928,001,LUIS,,DAVILA GONZALEZ,MEDICINA GENERAL,787-859-1520,,CARR 891 BO PALMAREJO KM 1 3,COROZAL,PUERTO RICO,01/28/2024
6929,001,JOSE,,MEDINA FUENTES,MEDICINA GENERAL,787-859-4503,,CALLE BOLD ALTOS 18,COROZAL,PUERTO RICO,01/28/2024
6930,001,JUAN,,ORTIZ MATOS,MEDICINA INTERNA,787-859-0112,,EDF ORTIZ MEDICAL PLAZACALLE 1 CASA 1 URB SANFELIZ STE 102,COROZAL,PUERTO RICO,01/28/2024
6931,001,DALED,,BAHRI JOVET,MEDICINA INTERNA,787-859-4377,,CALLE GANDARA # 7,COROZAL,PUERTO RICO,01/28/2024
6932,001,OSCAR,,MUNIZ ECHEVARRIA,CIRUGIA ORAL Y MAXILOFACIAL,787-833-1215,,27 NELSON PEREA ST DOCTORS CENTER SUITE 206,MAYAGUEZ,PUERTO RICO,01/28/2024
6933,001,ALVARO,,TALAVERA MARTINEZ,HEMATOLOGIA Y ONCOLOGIA,787-633-0017,787-633-6018,VIA JOSEFINA 4PN 4 VILLA FONTANA,CAROLINA,PUERTO RICO,01/28/2024
6934,001,AGNES,,CHARLES TORRES,HEMATOLOGIA Y ONCOLOGIA,787-763-4149,,HOSPITAL ONCOLOGICO ISAAC GONZALEZMARTINEZ BO MONACILLAS CARR 22 CENTRO MEDICO DE PR,SAN JUAN,PUERTO RICO,01/28/2024
6935,001,MELVA,,GONZALEZ MURIEL,MEDICINA INTERNA,787-768-4278,,AVE ITURREGUI 820,SAN JUAN,PUERTO RICO,01/28/2024
6936,001,SANDRA,,HERNANDEZ GONZALEZ,DENTISTA,787-285-6213,,358 AVE FONT MARTELOOFICINA 104,HUMACAO,PUERTO RICO,01/28/2024
6937,001,HUMBERTO,,SIMONETTI JIMENEZ,CARDIOLOGIA,787-259-7727,,TORRE MEDICAL SAN LUCAS909 AVE TITO CASTRO SUITE 517,PONCE,PUERTO RICO,01/28/2024
6938,001,CENTRO,,DE TERAPIA FISICA COROZAL,TERAPIA FISICA,787-859-8854,,CALLE NUEVA 12,COROZAL,PUERTO RICO,01/28/2024
6941,001,ALMA,,ARANA MARTIR,MEDICINA GENERAL,787-882-2055,,EDIF SAN JOSE BO CEIBA BAJASUITE 3,AGUADILLA,PUERTO RICO,01/28/2024
